iter	RMSE
0	0.6513271812
1	0.6123706266
2	0.5778608832
3	0.5464117985
4	0.5214013401
5	0.4984830188
6	0.4782554594
7	0.4604821726
8	0.4468862045
9	0.4342671794
10	0.4236608819
11	0.413859684
12	0.4053664304
13	0.398356366
14	0.3917681115
15	0.3861400967
16	0.3816762173
17	0.3768945773
18	0.3733523715
19	0.3700641125
20	0.367044023
21	0.3646713644
22	0.3624668784
23	0.3602957591
24	0.3588232985
25	0.357155621
26	0.3553809535
27	0.3540718087
28	0.3525212255
29	0.3514070652
30	0.3501049138
31	0.3490664337
32	0.347840385
33	0.3470207861
34	0.3462612081
35	0.345507273
36	0.3448155257
37	0.3439792157
38	0.3434204907
39	0.3428739327
40	0.3422275774
41	0.3416194536
42	0.3412974403
43	0.3404423841
44	0.3400099463
45	0.3395177906
46	0.3388565908
47	0.3383851303
48	0.3378129793
49	0.3372648141
50	0.3368661923
51	0.3364929739
52	0.3360931523
53	0.3355151502
54	0.3350799678
55	0.3348092701
56	0.3342601213
57	0.3339232536
58	0.3337938467
59	0.3333793803
60	0.3331670075
61	0.3328248816
62	0.332515697
63	0.3321613393
64	0.3318789918
65	0.3316082259
66	0.3312772284
67	0.3309641627
68	0.3307335025
69	0.3304442026
70	0.3302144605
71	0.3298663302
72	0.3296674723
73	0.329455868
74	0.3292330848
75	0.3290123172
76	0.3285597244
77	0.3283640153
78	0.3281168234
79	0.3278428885
80	0.3275386939
81	0.3273408599
82	0.3271468846
83	0.3267918947
84	0.3265759131
85	0.3261993569
86	0.3259804345
87	0.3258026104
88	0.3255929894
89	0.3253799408
90	0.3252137755
91	0.3249602006
92	0.3247155634
93	0.3244850389
94	0.3242622525
95	0.3240477785
96	0.3238677908
97	0.3236865632
98	0.3235024442
99	0.3231034099
100	0.3229271887
101	0.3227031292
102	0.3225751223
103	0.3224005184
104	0.3221300832
105	0.3217972077
106	0.321643701
107	0.3214951861
108	0.3212507399
109	0.3210397397
110	0.3208567784
111	0.3206515469
112	0.3204118477
113	0.3202390621
114	0.3200852412
115	0.3198289851
116	0.3197245394
117	0.3195294413
118	0.3194024106
119	0.319293707
120	0.3190720222
121	0.3188767084
122	0.3187167721
123	0.3185699903
124	0.3182616656
125	0.3181566055
126	0.3180448397
127	0.3179378546
128	0.3178056348
129	0.3176606562
130	0.3175639339
131	0.3174453422
132	0.3173241933
133	0.3172128858
134	0.3170836596
135	0.3169427763
136	0.3168263292
137	0.3167023946
138	0.3164529537
139	0.3163215788
140	0.3161935326
141	0.3160682324
142	0.3159682477
143	0.3158771533
144	0.3157251774
145	0.3155685099
146	0.3154633895
147	0.3153599802
148	0.3152179976
149	0.3150972004
150	0.3149975923
151	0.3149102678
152	0.3147256846
153	0.3144832585
154	0.3143191634
